Fast,Slow,SL,TP,TSL,ATR,WinRate,Return,Sharpe
1,2,0.3,0.0,1.8,15,47.08,-17.06,-1.28
1,2,0.3,0.0,1.8,19,47.08,-16.92,-1.27
1,2,0.3,0.0,2.1,3,47.1,-16.9,-1.27
1,2,0.3,0.0,2.1,7,47.08,-17.04,-1.28
1,2,0.3,0.0,2.1,11,47.08,-17.06,-1.28
1,2,0.3,0.0,2.1,15,47.08,-17.06,-1.28
1,2,0.3,0.0,2.1,19,47.08,-16.92,-1.27
1,2,0.3,0.3,0.0,3,38.48,-25.71,-1.93
1,2,0.3,0.3,0.0,7,38.18,-25.99,-1.96
1,2,0.3,0.3,0.0,11,37.99,-25.81,-1.94
1,2,0.3,0.3,0.0,15,37.93,-25.59,-1.92
1,2,0.3,0.3,0.0,19,37.77,-26.68,-2.02
1,2,0.3,0.3,0.3,3,38.48,-25.71,-1.93
1,2,0.3,0.3,0.3,7,38.18,-25.99,-1.96
1,2,0.3,0.3,0.3,11,37.99,-25.81,-1.94
1,2,0.3,0.3,0.3,15,37.93,-25.59,-1.92
1,2,0.3,0.3,0.3,19,37.77,-26.68,-2.02
1,2,0.3,0.3,0.6,3,38.48,-25.71,-1.93
1,2,0.3,0.3,0.6,7,38.18,-25.99,-1.96
1,2,0.3,0.3,0.6,11,37.99,-25.81,-1.94
1,2,0.3,0.3,0.6,15,37.93,-25.59,-1.92
1,2,0.3,0.3,0.6,19,37.77,-26.68,-2.02
1,2,0.3,0.3,0.9,3,38.48,-25.71,-1.93
1,2,0.3,0.3,0.9,7,38.18,-25.99,-1.96
1,2,0.3,0.3,0.9,11,37.99,-25.81,-1.94
1,2,0.3,0.3,0.9,15,37.93,-25.59,-1.92
1,2,0.3,0.3,0.9,19,37.77,-26.68,-2.02
1,2,0.3,0.3,1.2,3,38.48,-25.71,-1.93
1,2,0.3,0.3,1.2,7,38.18,-25.99,-1.96
1,2,0.3,0.3,1.2,11,37.99,-25.81,-1.94
1,2,0.3,0.3,1.2,15,37.93,-25.59,-1.92
1,2,0.3,0.3,1.2,19,37.77,-26.68,-2.02
1,2,0.3,0.3,1.5,3,38.48,-25.71,-1.93
1,2,0.3,0.3,1.5,7,38.18,-25.99,-1.96
1,2,0.3,0.3,1.5,11,37.99,-25.81,-1.94
1,2,0.3,0.3,1.5,15,37.93,-25.59,-1.92
1,2,0.3,0.3,1.5,19,37.77,-26.68,-2.02
1,2,0.3,0.3,1.8,3,38.48,-25.71,-1.93
1,2,0.3,0.3,1.8,7,38.18,-25.99,-1.96
1,2,0.3,0.3,1.8,11,37.99,-25.81,-1.94
